AAA,AAA
AAAS,AAA*
AACHEN,AA****
AALBORG,AA*****
AALESUND,AA******
AARDVARK,AAB**AB*
AARDVARKS,AAB**AB***
AARDWOLF,AA******
AARGAU,AA**A*
AARHUS,AA****
AARON,AA***
AARONIC,AA*****
AAU,AA*
AB,**
ABAC,A*A*
ABACA,A*A*A
ABACK,A*A**
ABACTERIAL,A*A*****A*
ABACTINAL,A*A****A*
ABACUS,A*A***
ABACUSES,A*A**B*B
ABADAN,A*A*A*
ABADDON,A*ABB**
ABAFT,A*A**
ABAKAN,A*A*A*
ABALONE,A*A****
ABALONES,A*A******
ABAMP,A*A**
ABAMPERE,A*A**B*B
ABANDON,A*AB**B
ABANDONED,A*ABC*B*C
ABANDONEE,A*AB**BCC
ABANDONER,A*AB**B**
ABANDONING,A*AB**B*B*
ABANDONMENT,A*AB**B**B*
ABANDONMENTS,A*AB**B**B**
ABANDONS,A*AB**B*
ABASE,A*A**
ABASED,A*A***
ABASEMENT,A*A*B*B**
ABASEMENTS,A*ABC*C**B
ABASER,A*A***
ABASES,A*AB*B
ABASH,A*A**
ABASHED,A*A****
ABASHES,A*AB**B
ABASHING,A*A*****
ABASHMENT,A*A******
ABASING,A*A****
ABATE,A*A**
ABATED,A*A***
ABATEMENT,A*ABC*C*B
ABATEMENTS,A*ABC*C*B*
ABATER,A*A***
ABATES,A*A***
ABATING,A*A****
ABATIS,A*A***
ABATISES,A*A**B*B
ABATOR,A*A***
ABATTOIR,A*ABB***
ABATTOIRS,A*ABB****
ABAXIAL,A*A**A*
ABBA,ABBA
ABBACY,ABBA**
ABBADO,ABBA**
ABBAS,ABBA*
ABBASID,ABBA***
ABBATIAL,ABBA**A*
ABBE,*AA*
ABBERATIONS,ABB**A*****
ABBESS,*AA*BB
ABBEVILLIAN,ABB**CDDCA*
ABBEY,*AA**
ABBEYS,*AA****
ABBEYDALE,ABBC**A*C
ABBOT,*AA**
ABBOTS,*AA****
ABBOTT,*AA*BB
ABBOTTS,*AA*BB**
ABBREVIATE,ABB*C**A*C
ABBREVIATED,ABB*C**A*C*
ABBREVIATES,ABB*C**A*C*
ABBREVIATING,ABB***CA*C**
ABBREVIATION,ABB***CA*C**
ABBREVIATIONS,ABB***CA*C***
ABBREVIATOR,ABBC***A**C
ABCOULOMB,*A*B**B*A
ABDIAS,A***A*
ABDICABLE,AB***AB**
ABDICATE,A****A**
ABDICATED,A*B**A**B
ABDICATES,A****A***
ABDICATING,A**B*A*B**
ABDICATION,A**B*A*B**
ABDICATOR,A****A***
ABDOMEN,*******
ABDOMENS,*********
ABDOMINAL,A******A*
ABDOMINALLY,A******ABB*
ABDOMINOUS,***A***A**
ABDUCE,******
ABDUCED,**A***A
ABDUCENS,********
ABDUCENT,********
ABDUCENTES,*****A**A*
ABDUCING,********
ABDUCT,******
ABDUCTED,**A****A
ABDUCTING,*********
ABDUCTION,*********
ABDUCTIONS,***********
ABDUCTOR,********
ABDUCTORS,**********
ABDUCTS,*******
ABE,***
ABES,*****
ABEAM,A**A*
ABECEDARIAN,A*B*B*A**A*
ABED,****
ABEDNEGO,**A**A**
ABEL,****
ABELARD,A***A**
ABELE,**A*A
ABELIAN,A****A*
ABELMOSK,********
ABELSON,*******
ABELSONS,****A***A
ABEOKUTA,A******A
ABERDARE,A*BC*ACB
ABERDEEN,**A**AA*
ABERDEENS,**A**AA***
ABERNATHY,A****A***
ABERNATHYS,A****A*****
ABERNETHY,**A**A***
ABERRANCE,A*BCCA**B
ABERRANCY,A**BBA***
ABERRANT,A**BBA**
ABERRANTLY,A**BBA****
ABERRATED,A*BCCA*B*
ABERRATION,A**BBA****
ABERRATIONAL,A**BBA****A*
ABERRATIONS,A**BBA*****
ABERYSTWYTH,****A*B*AB*
ABET,****
ABETMENT,**AB*A*B
ABETS,*****
ABETTED,**ABBA*
ABETTER,**ABBA*
ABETTING,***AA***
ABETTOR,***AA**
ABEYANCE,A*B*A**B
ABEYANT,A***A**
ABFARAD,A**A*A*
ABHENRY,*******
ABHOR,*****
ABHORRED,****AA**
ABHORRENCE,****AAB**B
ABHORRENT,****AA***
ABHORRENTLY,****AA*****
ABHORRER,****AA*A
ABHORRING,****AA***
ABHORS,******
ABIB,*A*A
ABIDANCE,A***A***
ABIDE,*****
ABIDED,***A*A
ABIDER,******
ABIDES,******
ABIDING,**A*A**
ABIDINGLY,**A*A****
ABIDJAN,A****A*
ABIES,*****
ABIETIC,**A**A*
ABIGAIL,A*B*AB*
ABIGAILS,A*B*AB***
ABILENE,****A*A
ABILENES,****A*A**
ABILITIES,**A*A*A**
ABILITY,**A*A**
ABILITYS,**A*A****
ABINGDON,***A***A
ABIOGENESIS,**A**B*BCAC
ABIOGENETIC,**A**B*B*A*
ABIOGENETICAL,A*B**C*C*B*A*
ABIOGENETICALLY,A*B**C*C*B*ADD*
ABIOGENIST,**A****A**
ABIOLOGICAL,A*BCDC*B*AD
ABIOLOGICALLY,A*BCDC*B*ADD*
ABIOTIC,**A**A*
ABIOTICALLY,A*B**B*ACC*
ABIRRITANT,A*BCCBDA*D
ABIRRITATE,A*BCCBDAD*
ABJECT,******
ABJECTION,*********
ABJECTIONS,**********
ABJECTLY,********
ABJECTNESS,***A***ABB
ABJURATION,A****A****
ABJURE,******
ABJURED,*******
ABJURER,****A*A
ABJURES,*******
ABJURING,********
ABKHAZ,A***A*
ABLACTATION,A**A*BAB***
ABLATE,A**A**
ABLATED,A**A***
ABLATES,A**A***
ABLATING,A**A****
ABLATION,A**A****
ABLATIVE,A**A****
ABLATIVELY,A*BA****B*
ABLATOR,A**A***
ABLAUT,A**A**
ABLAZE,A**A**
ABLE,****
ABLEBODIED,*A*BA*C*BC
ABLER,*****
ABLEST,******
ABLOOM,***AA*
ABLUTED,*******
ABLUTION,********
ABLUTIONARY,A*******A**
ABLUTIONS,*********
ABLY,****
ABNEGATE,A**B*A*B
ABNEGATES,A**B*A*B*
ABNEGATION,A*B**A***B
ABNEGATOR,A****A***
ABNER,*****
ABNERS,*******
ABNORMAL,A*****A*
ABNORMALISE,A*****A****
ABNORMALISES,A*****A**B*B
ABNORMALITIES,A*****A*B*B**
ABNORMALITY,A*****A****
ABNORMALIZE,A*****A****
ABNORMALIZES,A*****A*****
ABNORMALLY,A*****ABB*
ABOARD,A**A**
ABODE,*****
ABODES,*******
ABOHM,*****
ABOIDEAU,A*****A*
ABOIL,*****
ABOLISH,*******
ABOLISHABLE,AB*C***ABC*
ABOLISHED,*********
ABOLISHER,*********
ABOLISHERS,*****A***A
ABOLISHES,*****A**A
ABOLISHING,****A**A**
ABOLISHMENT,***********
ABOLISHMENTS,*****A******A
ABOLITION,**A*B*BA*
ABOLITIONARY,A*B*C*CB*A**
ABOLITIONISE,**A*B*BA*B**
ABOLITIONISES,**A*B*BA*BC*C
ABOLITIONISM,**A*B*BA*B**
ABOLITIONIST,**A*BCBA*B*C
ABOLITIONISTS,**A*BCBA*BDCD
ABOLITIONIZE,**A*B*BA*B**
ABOLITIONIZES,**A*B*BA*B***
ABOMASAL,A***A*A*
ABOMB,*A**A
ABOMINABLE,AB****AB**
ABOMINABLY,AB****AB**
ABOMINATE,A*****A**
ABOMINATED,A*****A***
ABOMINATES,A*****A***
ABOMINATING,A***BCA*BC*
ABOMINATION,A*B*CDA*CBD
ABOMINATIONS,A*B*CDA*CBD*
ABOMINATOR,A*B***A*B*
ABOMINATORS,A*B***A*B**
ABORAL,A***A*
ABORALLY,A***ABB*
ABORIGINAL,A***B*B*A*
ABORIGINALLY,A***B*B*ACC*
ABORIGINE,****A*A**
ABORIGINES,****A*A****
